"Algorithm","x","y","NumLoss.G","NumLoss.SO","VisLoss.G","VisLoss.SO","TotalLoss.G","TotalLoss.SO","TotalLoss.LogFreq"
"Random",9,5,0.0284059269173519,0.00143108660668209,0.013900754662148,0.000178174929422776,0.0423066815794999,0.00160926153610487,0.000971221783330697
"Random",10,5,0.0340781120329317,0.00153037063320572,0.0163828551494236,0.000225884485238251,0.0504609671823552,0.00175625511844397,0.00108766950562007
"Random",15,5,0.0650446914728553,0.00153349838092173,0.0453984983358059,0.000133454745696644,0.110443189808661,0.00166695312661837,0.00169977672279874
"Random",20,5,0.0964501359845086,0.00147939806968839,0.0825289963142283,0.000154014647616978,0.178979132298737,0.00163341271730537,0.00235553299841701
"Random",1,10,0,0.00480481641289067,0,0.00169951919966843,0,0.0065043356125591,0.00019839842716648
"Random",2,10,0.00134974745539322,0.00511451109884686,0.000234879557820546,0.00159117129434705,0.00158462701321376,0.00670568239319392,0.000410202512007763
"Random",3,10,0.00349636087771752,0.00519165631243143,0.000693482185426902,0.00146269830041413,0.00418984306314442,0.00665435461284556,0.000628780854041007
"Random",4,10,0.00661916260546805,0.00513944295035108,0.00121258558171205,0.00121779475511211,0.0078317481871801,0.00635723770546319,0.000850547329057203
"Random",5,10,0.0101036003900834,0.00542427248808831,0.00193922757622445,0.00166970664993607,0.0120428279663079,0.00709397913802438,0.00108033901636017
"Random",6,10,0.0140436239867618,0.00528988529551536,0.00355088020519071,0.00110344877580257,0.0175945041919525,0.00639333407131793,0.0013128419016954
"Random",7,10,0.0187325243198525,0.00554943754402121,0.00498114408225317,0.00107111584761933,0.0237136684021057,0.00662055339164054,0.00154313254951804
"Random",8,10,0.0238602657521145,0.00547650762739873,0.00793017807284941,0.00138169756024498,0.0317904438249639,0.00685820518764371,0.00178171151571732
"Random",9,10,0.0273698110723603,0.00540028454592867,0.0111694617583214,0.00102789399416233,0.0385392728306817,0.006428178540091,0.00202508489496511
"Random",10,10,0.0343318994118021,0.00553043967232338,0.014172529893674,0.0011485355831283,0.0485044293054761,0.00667897525545168,0.00227123699005174
