"CRS_DEP_TIME","DEP_TIME","Freq"
540,570,2991
540,585,1602
540,600,1040
540,615,714
540,630,480
540,645,355
540,660,275
540,675,204
540,690,150
540,705,120
540,720,101
540,735,68
540,750,63
540,765,45
540,780,41
540,795,35
540,810,26
540,825,22
540,840,15
540,855,20
540,870,9
540,885,17
540,900,12
540,915,10
540,930,4
540,945,3
540,960,7
540,975,4
540,990,3
540,1005,2
540,1020,3
540,1035,3
540,1050,3
540,1065,1
540,1080,3
540,1110,2
540,1125,2
540,1170,3
540,1185,3
540,1200,1
540,1215,1
540,1260,1
540,1290,1
540,1305,1
540,1320,1
540,1410,1
555,30,2
555,60,1
555,105,1
555,255,1
555,330,1
555,405,1
555,435,1
555,525,18
555,540,13789
555,555,48273
555,570,7188
555,585,2392
555,600,1317
555,615,819
555,630,594
555,645,371
555,660,277
555,675,217
555,690,157
555,705,129
555,720,99
555,735,70
555,750,50
555,765,52
555,780,39
555,795,42
555,810,20
555,825,25
555,840,14
555,855,7
555,870,16
555,885,7
555,900,10
555,915,9
555,930,5
555,945,4
555,960,6
555,975,5
555,990,1
555,1005,4
555,1020,5
555,1035,2
555,1050,2
555,1065,4
555,1080,2
555,1095,1
555,1110,1
555,1140,2
555,1155,1
555,1260,1
555,1290,1
555,1335,1
570,105,1
570,120,1
570,540,16
570,555,14784
570,570,56109
570,585,8486
570,600,2994
570,615,1486
570,630,969
570,645,641
570,660,467
570,675,311
570,690,253
570,705,166
570,720,119
570,735,69
570,750,76
570,765,65
570,780,54
570,795,40
570,810,20
570,825,21
570,840,12
570,855,20
570,870,12
570,885,11
570,900,9
570,915,7
570,930,7
570,945,4
570,960,2
570,975,6
570,990,4
570,1005,1
570,1020,4
570,1035,3
570,1050,2
570,1065,1
570,1080,3
570,1095,2
570,1110,2
570,1125,2
570,1140,1
570,1155,2
570,1185,1
570,1200,1
570,1275,1
570,1305,1
570,1335,1
570,1350,1
570,1380,2
570,1395,1
585,30,1
585,555,45
585,570,15134
585,585,58846
585,600,9890
585,615,3203
585,630,1614
585,645,1078
585,660,701
585,675,497
585,690,352
585,705,230
585,720,173
585,735,131
585,750,102
585,765,60
585,780,56
585,795,49
585,810,46
585,825,22
585,840,21
585,855,14
585,870,17
585,885,18
585,900,19
585,915,10
585,930,10
585,945,4
585,960,7
585,975,2
585,990,2
585,1005,3
585,1020,3
585,1035,1
585,1050,3
585,1065,1
585,1080,2
585,1110,1
585,1140,2
585,1155,1
585,1170,2
585,1185,1
585,1215,1
585,1230,3
585,1245,1
585,1365,1
600,570,12
600,585,17757
600,600,67875
600,615,10780
600,630,3710
600,645,1966
600,660,1285
600,675,869
600,690,598
600,705,444
600,720,291
600,735,221
600,750,155
600,765,129
600,780,86
600,795,78
600,810,61
600,825,48
600,840,46
600,855,32
600,870,34
600,885,22
600,900,15
600,915,14
600,930,10
600,945,10
600,960,13
600,975,7
600,990,4
600,1005,5
600,1020,1
600,1035,6
600,1050,1
600,1065,3
600,1095,2
600,1125,2
600,1140,2
600,1170,2
600,1200,1
600,1215,1
600,1260,1
600,1290,1
615,585,47
615,600,20251
615,615,63003
615,630,11246
615,645,3844
615,660,2041
615,675,1284
615,690,814
615,705,591
615,720,418
615,735,308
615,750,199
615,765,170
615,780,139
615,795,97
615,810,64
615,825,63
615,840,51
615,855,36
615,870,22
615,885,24
615,900,21
615,915,13
615,930,22
615,945,6
615,960,9
615,975,9
615,990,7
615,1005,7
615,1020,3
615,1035,4
615,1050,5
615,1065,6
615,1080,4
615,1095,2
615,1110,4
615,1125,2
615,1140,2
615,1185,2
615,1200,2
615,1245,1
615,1275,1
615,1290,1
615,1335,2
615,1350,1
615,1380,2
630,30,1
630,105,1
630,120,1
630,585,1
630,600,26
630,615,16597
630,630,57412
630,645,10146
630,660,3450
630,675,1695
630,690,1214
630,705,723
630,720,556
630,735,388
630,750,311
630,765,208
630,780,174
630,795,109
630,810,93
630,825,83
630,840,58
630,855,50
630,870,38
630,885,40
630,900,22
630,915,20
630,930,16
630,945,15
630,960,7
630,975,6
630,990,4
630,1005,11
630,1020,4
630,1035,5
630,1050,4
630,1065,4
630,1080,3
630,1095,2
630,1110,3
630,1125,1
630,1140,2
630,1170,1
630,1185,3
630,1245,1
630,1260,1
630,1380,1
645,90,1
645,615,12
645,630,12464
645,645,51314
645,660,10439
645,675,3532
645,690,1727
645,705,1122
645,720,828
645,735,558
645,750,376
645,765,266
645,780,201
645,795,158
645,810,132
645,825,73
645,840,81
645,855,59
645,870,35
645,885,35
645,900,41
645,915,30
645,930,17
645,945,16
645,960,7
645,975,12
645,990,7
645,1005,3
645,1020,5
645,1035,3
645,1050,3
645,1065,3
645,1080,4
645,1095,1
645,1125,4
645,1155,1
645,1215,2
645,1245,2
645,1260,1
645,1275,1
645,1305,1
645,1320,1
660,450,1
660,630,21
660,645,16467
660,660,62629
660,675,10893
660,690,4029
660,705,2116
660,720,1305
660,735,870
660,750,608
660,765,432
660,780,304
660,795,237
660,810,180
660,825,138
660,840,97
660,855,70
660,870,66
660,885,36
660,900,45
660,915,23
660,930,20
660,945,20
660,960,17
660,975,16
660,990,9
660,1005,10
660,1020,4
660,1035,8
660,1050,7
660,1065,10
660,1080,3
660,1095,4
660,1110,6
660,1125,4
660,1140,4
660,1155,1
660,1170,1
660,1185,1
660,1200,4
660,1215,1
660,1245,2
660,1275,1
660,1290,2
660,1305,1
660,1395,2
660,1440,1
675,390,1
675,480,1
675,630,1
675,645,48
675,660,17314
675,675,62899
675,690,12258
675,705,4170
675,720,2172
675,735,1376
675,750,948
675,765,615
675,780,453
675,795,344
675,810,244
675,825,182
675,840,154
675,855,97
675,870,84
675,885,56
675,900,60
675,915,42
675,930,36
675,945,29
675,960,40
675,975,25
675,990,24
675,1005,14
675,1020,12
675,1035,6
675,1050,7
675,1065,8
675,1080,5
675,1095,7
675,1110,3
675,1125,1
675,1140,1
675,1155,2
675,1170,1
675,1185,1
675,1200,5
675,1245,1
675,1260,1
675,1275,1
675,1290,1
675,1335,1
675,1350,2
675,1380,1
690,645,1
690,660,27
690,675,16804
690,690,59886
690,705,11289
690,720,4013
690,735,2114
690,750,1277
690,765,965
690,780,671
690,795,492
690,810,332
690,825,272
690,840,183
690,855,149
690,870,93
690,885,69
690,900,69
690,915,60
690,930,45
690,945,35
690,960,21
690,975,14
690,990,16
690,1005,14
690,1020,14
690,1035,7
690,1050,10
690,1065,10
690,1080,4
690,1095,1
690,1110,3
690,1125,5
690,1140,3
690,1170,1
690,1185,1
690,1200,2
690,1215,1
690,1245,1
690,1290,3
690,1305,1
690,1320,1
690,1365,1
690,1425,1
705,60,1
705,360,1
705,645,1
705,660,1
705,675,58
705,690,14455
705,705,53169
705,720,11326
705,735,4025
705,750,2025
705,765,1341
705,780,939
705,795,621
705,810,428
705,825,317
705,840,253
705,855,165
705,870,109
705,885,109
705,900,91
705,915,72
705,930,53
705,945,29
705,960,45
705,975,16
705,990,9
705,1005,18
705,1020,19
705,1035,13
705,1050,9
705,1065,11
705,1080,9
705,1095,2
705,1110,9
705,1125,3
705,1140,2
705,1155,2
705,1170,3
705,1185,3
705,1200,5
705,1215,3
705,1230,2
705,1245,1
705,1260,2
705,1290,1
705,1305,1
705,1320,1
705,1335,1
720,15,1
720,60,1
720,480,1
720,675,3
720,690,63
720,705,17900
720,720,61788
720,735,12232
720,750,4581
720,765,2412
720,780,1495
720,795,1042
720,810,679
720,825,514
720,840,353
720,855,290
720,870,222
720,885,156
720,900,131
720,915,73
720,930,69
720,945,63
720,960,46
720,975,40
720,990,40
720,1005,31
720,1020,20
720,1035,21
720,1050,13
720,1065,14
720,1080,5
720,1095,8
720,1110,5
720,1125,5
720,1140,6
720,1155,2
720,1170,2
720,1185,6
720,1200,2
720,1215,2
720,1230,2
720,1275,5
720,1305,1
720,1335,1
720,1350,2
720,1365,1
735,0,1
735,15,1
735,405,1
735,705,36
735,720,17054
735,735,54681
735,750,11281
735,765,4119
735,780,2296
735,795,1466
735,810,1001
735,825,718
735,840,503
735,855,334
735,870,273
735,885,186
735,900,152
735,915,117
735,930,82
735,945,67
735,960,57
735,975,49
735,990,43
735,1005,25
735,1020,23
735,1035,14
735,1050,9
735,1065,8
735,1080,12
735,1095,10
735,1110,9
735,1125,6
735,1140,7
735,1155,5
735,1170,3
735,1215,3
735,1230,2
735,1260,1
735,1275,1
735,1290,1
735,1320,2
735,1335,2
735,1350,3
735,1380,2
750,525,1
750,540,1
750,600,1
750,705,2
750,720,24
750,735,15233
750,750,52220
750,765,10478
750,780,3953
750,795,2184
750,810,1410
750,825,959
750,840,664
750,855,485
750,870,354
750,885,273
750,900,224
750,915,149
750,930,115
750,945,98
750,960,68
750,975,61
750,990,45
750,1005,36
750,1020,27
750,1035,26
750,1050,17
750,1065,18
750,1080,20
750,1095,16
750,1110,8
750,1125,9
750,1140,6
750,1155,5
750,1170,4
750,1185,3
750,1200,3
750,1215,5
750,1230,2
750,1245,2
750,1260,3
750,1305,2
750,1320,1
750,1350,1
750,1395,1
750,1440,1
765,390,1
765,405,1
765,480,1
765,720,1
765,735,25
765,750,13862
765,765,48840
765,780,10722
765,795,4112
765,810,2198
765,825,1310
765,840,885
765,855,642
765,870,427
765,885,377
765,900,242
765,915,205
765,930,144
765,945,103
765,960,107
765,975,74
765,990,39
765,1005,41
765,1020,30
765,1035,28
765,1050,26
765,1065,11
765,1080,25
765,1095,20
765,1110,9
765,1125,8
765,1140,8
765,1155,5
765,1170,6
765,1185,4
765,1200,5
765,1215,4
765,1230,5
765,1245,3
765,1260,4
765,1290,1
765,1305,3
765,1320,1
765,1350,1
765,1380,3
780,540,1
780,720,1
780,735,1
780,750,14
780,765,14419
780,780,60247
780,795,13070
780,810,4764
780,825,2521
780,840,1616
780,855,1102
780,870,801
780,885,545
780,900,433
780,915,323
780,930,240
780,945,183
780,960,145
780,975,102
780,990,73
780,1005,72
780,1020,47
780,1035,48
780,1050,38
780,1065,29
780,1080,22
780,1095,17
780,1110,9
780,1125,12
780,1140,10
780,1155,8
780,1170,6
780,1185,7
780,1200,2
780,1215,4
780,1230,7
780,1245,1
780,1260,1
780,1305,1
780,1335,1
780,1350,2
780,1365,1
780,1395,2
795,15,1
795,60,1
795,75,1
795,360,1
795,480,2
795,510,1
