"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
-0.533333333333333,-0.533333333333333,4,4,208623.365017473,3829514.198366,0.0544777625074452,"random","unif"
-0.466666666666667,-0.466666666666667,4,4,150918.460274974,3829514.198366,0.0394092964427103,"standard","unif"
-0.466666666666667,-0.466666666666667,4,4,205438.720268206,3829514.198366,0.053646157091117,"random","unif"
-0.4,-0.4,4,4,153249.469296134,3829514.198366,0.040017992193768,"standard","unif"
-0.4,-0.4,4,4,201285.449586639,3829514.198366,0.0525616146488044,"random","unif"
-0.333333333333333,-0.333333333333333,4,4,155778.513897205,3829514.198366,0.0406784009218907,"standard","unif"
-0.333333333333333,-0.333333333333333,4,4,196797.671859942,3829514.198366,0.0513897224728694,"random","unif"
-0.266666666666667,-0.266666666666667,4,4,158488.511349127,3829514.198366,0.0413860618186901,"standard","unif"
-0.266666666666667,-0.266666666666667,4,4,192264.746545718,3829514.198366,0.0502060409196955,"random","unif"
-0.2,-0.2,4,4,161363.261061178,3829514.198366,0.0421367444283218,"standard","unif"
-0.2,-0.2,4,4,186389.573788046,3829514.198366,0.0486718586570526,"random","unif"
-0.133333333333333,-0.133333333333333,4,4,164387.617472429,3829514.198366,0.042926493794584,"standard","unif"
-0.133333333333333,-0.133333333333333,4,4,180812.195463184,3829514.198366,0.0472154393735723,"random","unif"
-0.0666666666666667,-0.0666666666666667,4,4,167547.580814872,3829514.198366,0.0437516541618678,"standard","unif"
-0.0666666666666667,-0.0666666666666667,4,4,175230.647811048,3829514.198366,0.0457579313547959,"random","unif"
0,0,4,4,170830.324871636,3829514.198366,0.0446088762236545,"standard","unif"
0,0,4,4,170830.324871636,3829514.198366,0.0446088762236545,"random","unif"
-3,-3,6,6,215403.149186829,3829514.198366,0.0562481657017328,"standard","unif"
-3,-3,6,6,289788.204555032,3829514.198366,0.0756723149580384,"random","unif"
-2.9,-2.9,6,6,216975.652369934,3829514.198366,0.056658793029809,"standard","unif"
-2.9,-2.9,6,6,295184.316558862,3829514.198366,0.077081400216459,"random","unif"
-2.8,-2.8,6,6,218932.532998549,3829514.198366,0.0571697927355809,"standard","unif"
-2.8,-2.8,6,6,300468.524600121,3829514.198366,0.0784612640236002,"random","unif"
-2.7,-2.7,6,6,221279.941760397,3829514.198366,0.0577827709464594,"standard","unif"
-2.7,-2.7,6,6,304389.774624803,3829514.198366,0.0794852189749504,"random","unif"
-2.6,-2.6,6,6,224027.507255909,3829514.198366,0.0585002419762533,"standard","unif"
