"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
0,0,8,6,370925.79013996,3828376.12680617,0.096888544347236,"random","unif"
0,0,8,8,306157.496185064,3828376.12680617,0.079970589629728,"standard","unif"
0,0,8,8,429809.205148512,3828376.12680617,0.112269325403792,"random","unif"
0,0,8,10,345858.635479477,3828376.12680617,0.0903408191942755,"standard","unif"
0,0,8,10,469011.991257076,3828376.12680617,0.122509381451072,"random","unif"
0,0,8,12,390324.09579699,3828376.12680617,0.101955524449114,"standard","unif"
0,0,8,12,535106.968976402,3828376.12680617,0.139773875724906,"random","unif"
0,0,8,14,435343.477221806,3828376.12680617,0.113714917970976,"standard","unif"
0,0,8,14,581068.979935554,3828376.12680617,0.151779491013677,"random","unif"
0,0,8,16,481663.28500439,3828376.12680617,0.125813992421434,"standard","unif"
0,0,8,16,644515.016410814,3828376.12680617,0.168352062353001,"random","unif"
0,0,8,18,515986.215361379,3828376.12680617,0.134779394257649,"standard","unif"
0,0,8,18,690874.606429906,3828376.12680617,0.180461528216212,"random","unif"
0,0,8,20,565771.874616741,3828376.12680617,0.147783774602298,"standard","unif"
0,0,8,20,738236.69627868,3828376.12680617,0.192832854407792,"random","unif"
0,0,10,2,260135.842707016,3828376.12680617,0.0679493952763817,"standard","unif"
0,0,10,2,339810.528850092,3828376.12680617,0.08876100926206,"random","unif"
0,0,10,4,282466.107469202,3828376.12680617,0.073782224659532,"standard","unif"
0,0,10,4,373276.115286931,3828376.12680617,0.0975024665610214,"random","unif"
0,0,10,6,311327.845759536,3828376.12680617,0.0813211229637621,"standard","unif"
0,0,10,6,414072.024750255,3828376.12680617,0.108158658145143,"random","unif"
0,0,10,8,345373.832134036,3828376.12680617,0.0902141849949746,"standard","unif"
0,0,10,8,469109.101611433,3828376.12680617,0.122534747389826,"random","unif"
0,0,10,10,382562.650528657,3828376.12680617,0.0999281778637071,"standard","unif"
0,0,10,10,508624.502273223,3828376.12680617,0.132856460657523,"random","unif"
0,0,10,12,424546.119760343,3828376.12680617,0.110894568793198,"standard","unif"
0,0,10,12,570756.079026687,3828376.12680617,0.149085685450359,"random","unif"
0,0,10,14,467382.290087454,3828376.12680617,0.122083691519978,"standard","unif"
0,0,10,14,614503.004383041,3828376.12680617,0.160512704088898,"random","unif"
0,0,10,16,512013.22951652,3828376.12680617,0.133741621135765,"standard","unif"
0,0,10,16,677973.001338628,3828376.12680617,0.1770915340819,"random","unif"
0,0,10,18,545352.041193773,3828376.12680617,0.142449963935162,"standard","unif"
0,0,10,18,721965.812544651,3828376.12680617,0.188582779912733,"random","unif"
0,0,10,20,593288.42807391,3828376.12680617,0.154971300734983,"standard","unif"
0,0,10,20,768469.327051475,3828376.12680617,0.200729839910629,"random","unif"
0,0,12,2,312340.429480519,3828376.12680617,0.0815856172786998,"standard","unif"
0,0,12,2,416913.893054855,3828376.12680617,0.10890097504674,"random","unif"
0,0,12,4,332252.66765527,3828376.12680617,0.0867868403339075,"standard","unif"
0,0,12,4,446384.307297697,3828376.12680617,0.116598863986255,"random","unif"
0,0,12,6,358158.255031379,3828376.12680617,0.0935535702784181,"standard","unif"
0,0,12,6,483579.255402221,3828376.12680617,0.126314457980294,"random","unif"
0,0,12,8,389646.14931878,3828376.12680617,0.101778439843068,"standard","unif"
0,0,12,8,535138.770642239,3828376.12680617,0.139782182553907,"random","unif"
0,0,12,10,424424.333645339,3828376.12680617,0.110862757364286,"standard","unif"
